TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TimeSinceLastTransaction,TransactionFrequency,AvgTransactionAmount,AnomalyScore,Anomaly,DBSCAN_Cluster,KMeans_Cluster
-0.9712754695068417,1,36,365,186,14,0,1.4237182648914386,0,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,-0.8007620300162908,0.3949500495407011,1.309021474896645,1,0,-1,1
0.2694396064236744,1,15,50,82,51,0,1.3112870641052805,0,0.30531436617680696,-0.2067936485059295,2.2164715868484435,-0.07670647939509177,0.3949500495407011,0.05641290805057767,1,0,-1,0
-0.5868816229808057,1,23,229,343,8,2,-1.443277355155591,3,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,0.04613756558528531,-0.9361517274444162,-0.4859230450617197,1,0,-1,4
-0.38745590278222686,1,33,182,300,1,2,-1.0497681524040379,3,-1.353017049514218,-0.2067936485059295,0.8857974429054191,-0.5750971733355131,0.8386506418690736,-0.4904475034810914,1,0,-1,0
-0.9734680903782914,0,1,298,501,90,2,-1.0497681524040379,3,1.1201841135422244,-0.2067936485059295,0.5935893646592064,0.9673907486161506,-0.04875054278767131,-0.13480768281692862,1,0,-1,4
-0.7038442425922038,1,28,562,60,53,0,-1.49949295554867,3,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,-0.8756703885786787,0.8386506418690736,-0.7093670858037784,1,0,-1,1
-0.9952915199894398,0,39,235,112,18,0,-0.4313965480801688,0,0.2767224452166169,-0.2067936485059295,2.103091796208713,-1.3178447459241744,-2.2672535044295334,-2.3315609901737178,-1,1,-1,0
-0.43226759184248137,0,16,483,571,19,1,1.2550714637122016,2,2.449708438191063,-0.2067936485059295,-0.5943498275623533,-0.5464076270901137,0.3949500495407011,-0.5337931623008256,1,0,-1,2
-0.6556065834203091,0,11,670,370,34,1,0.35562185742293734,1,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,-0.9980283286842908,-1.823552912101161,-1.8029517595006803,1,0,-1,2
1.7759071839141245,1,26,194,393,6,0,0.5804842589952534,0,0.005099196094811046,-0.2067936485059295,-1.049294570483005,-0.9043208679671182,0.3949500495407011,2.3595901145557123,1,0,-1,3
-0.958633639794889,0,0,200,337,72,2,0.41183745781601633,1,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,-1.0639029934759712,0.3949500495407011,-0.060302927766223174,1,0,-1,3
-0.3685445477659726,1,22,572,56,29,2,-1.330846154369433,3,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,-1.4020975919716934,0.3949500495407011,-0.6530428094845727,1,0,-1,1
0.674663351228483,0,23,31,332,56,1,-1.162199353190196,3,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,-0.26450096962352265,-1.3798523197727885,-0.07608669993136383,1,0,-1,3
1.658739006096028,1,22,53,277,24,0,-1.0497681524040379,3,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,1.2959924205335946,-0.04875054278767131,1.1529742368431513,1,0,-1,0
-0.4474446394370476,1,21,299,251,16,2,-1.49949295554867,3,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,-1.3365370943556223,-0.04875054278767131,-0.12018762944701467,1,0,-1,0
0.575070400083101,1,10,451,361,24,0,-0.4876121484732478,1,0.13376284041566644,-0.2067936485059295,-0.4227417455289484,1.5027032134876903,-1.823552912101161,0.30939849500692584,1,0,-1,4
0.8846067996697973,0,2,651,464,47,1,-1.443277355155591,3,0.5483456943384226,-0.2067936485059295,-1.021249610057465,1.0986324267016876,0.3949500495407011,1.0884996295036833,1,0,-1,2
0.669216058750975,1,8,417,49,58,2,-0.31896534729401077,1,1.6348386908256458,-0.2067936485059295,-0.0011109695866326143,1.5223510131840672,-0.04875054278767131,0.39281171807626103,1,0,-1,1
-0.9555502666944129,0,0,513,579,53,1,0.8053466605675694,2,-0.19504425062651956,-0.2067936485059295,0.7266529330633243,-1.2613131539403535,1.282351234197446,-1.2204815209872766,1,0,-1,2
-0.7746590447998077,0,8,38,70,38,2,-1.49949295554867,3,0.7056012596194681,-0.2067936485059295,0.3728782439432717,-0.2547288143170738,0.3949500495407011,0.8638044477416337,1,0,-1,0
-0.8163188413573532,1,20,150,59,39,1,1.4799338652845175,2,-1.1671695632729824,-0.2067936485059295,0.1632204990176552,-1.195610644490486,0.3949500495407011,-0.030894664615919235,1,0,-1,0
-0.7257019319044686,1,19,260,478,64,1,-0.3751809476870898,0,-0.38089173686775507,-0.2067936485059295,1.0337731972516602,0.3470997082567945,1.282351234197446,0.4065757024473879,1,0,-1,4
-0.8407117485522317,1,1,140,91,21,2,-0.31896534729401077,1,0.005099196094811046,-0.2067936485059295,0.9898622453182356,-0.2732867684077259,0.8386506418690736,0.8036880532793623,1,0,-1,0
0.16529011502981078,1,13,158,268,82,2,-1.274630553976354,3,0.319610326656902,3.1124756489183207,-0.9517038515474685,-0.602548768146991,1.282351234197446,-0.2743380122338507,1,0,-1,0
-0.5209316983317309,1,33,35,63,27,2,-1.330846154369433,3,-0.33800385542746997,-0.2067936485059295,-0.8162070533532758,-1.176746140717225,1.282351234197446,-0.8343408982217904,1,0,-1,0
-0.9938868722436672,0,15,651,543,42,2,1.1426402629260435,2,2.2352690309896377,-0.2067936485059295,-0.37937692420172625,1.0049911293522913,0.3949500495407011,-1.0702503290855134,1,0,-1,2
-0.1735725887125261,1,24,45,467,28,0,-1.218414953583275,3,0.5483456943384226,6.431744946342571,-1.138657434417119,-0.7443210861991766,-0.04875054278767131,0.16335847424505887,-1,1,-1,3
-0.8814122734785179,1,25,300,327,7,1,-0.4313965480801688,1,-0.35229981590756504,-0.2067936485059295,-0.6224819637654089,-0.9229277916556311,-0.4924511351160437,-0.5784065866947682,1,0,-1,4
-0.5829074976513031,1,19,226,151,91,2,-0.03788734532861574,0,1.1058881530621294,-0.2067936485059295,-0.8569489093746535,-1.5248195394214041,0.3949500495407011,-1.0955999079647813,1,0,-1,0
-0.82711064720902,1,11,288,397,42,1,-0.9935525520109589,3,2.335340754350303,-0.2067936485059295,-0.9647315022991751,0.7225587560473321,-1.3798523197727885,-0.3988247124741673,1,0,-1,4
-0.9225581745193173,0,24,570,404,90,2,0.8053466605675694,0,-1.4244968519146932,-0.2067936485059295,0.8256487204129397,0.11176346481983272,0.3949500495407011,-0.5134768105260347,1,0,-1,2
-0.8170040353796812,1,3,274,248,52,0,-0.8811213512248008,0,1.963645781867832,-0.2067936485059295,1.2074709339519887,-1.4025243892223827,0.3949500495407011,0.8541278106660559,1,0,-1,0
0.33867846237992383,1,27,601,92,6,0,0.2431906566367793,1,0.6913052991393731,3.1124756489183207,1.1732441853031925,0.7693579125096358,-0.9361517274444162,0.7270130295559504,1,0,-1,1
1.9878034353190734,1,20,109,93,93,2,-1.274630553976354,3,0.4339780104976623,-0.2067936485059295,-1.2090005948920401,-1.0730691228035603,-0.04875054278767131,0.39281171807626103,1,0,-1,0
-0.1450342576825629,0,37,345,571,1,1,0.018328255064463266,0,-0.995618037511842,-0.2067936485059295,2.487475439210654,1.0703393165563035,-0.4924511351160437,-0.7995131577877947,1,0,-1,4
-0.5921233572516154,1,39,41,479,1,1,0.2431906566367793,1,-1.0670978399123172,-0.2067936485059295,0.16676650196778517,0.966880158942455,1.7260518265258185,-0.7807572210674896,1,0,-1,3
-0.7518763435574001,1,25,244,397,27,1,-1.0497681524040379,3,0.3624982080971871,-0.2067936485059295,-1.0803881191281433,1.3054878432014654,-0.9361517274444162,-1.6868407135011028,1,0,-1,4
1.204866485705928,1,38,433,517,73,0,1.7047962668568335,2,0.24813052425642676,-0.2067936485059295,-0.0611366203932074,-1.1763184728959073,2.613453011182563,0.1009858220365421,1,0,-1,4
1.7051609011087532,1,23,76,450,47,0,1.1988558633191224,0,-0.42377961830804023,1.4528410002061958,0.7180661189780133,0.9294662979634998,0.3949500495407011,1.104264292985815,1,0,-1,3
0.1303109601899639,1,28,37,449,39,2,0.5804842589952534,2,1.3775114021839352,-0.2067936485059295,-1.0499330048536357,-1.524410588868602,-0.04875054278767131,1.0439859524350459,1,0,-1,3
0.10578101419061983,1,35,540,482,13,0,1.0302090621398854,2,-0.009196764385283997,-0.2067936485059295,-0.2027203390527713,0.24373478991349593,-1.3798523197727885,-0.6117183716100781,1,0,-1,2
-0.9029958851818515,1,30,607,25,45,2,-0.3751809476870898,0,-1.4387928123947882,-0.2067936485059295,2.3332794367393115,-1.6658883275843226,2.169752418854191,0.026242729594129096,1,0,-1,1
-0.19244968402766394,0,5,193,488,43,2,0.6929154597814113,0,-0.052084645825569126,-0.2067936485059295,2.113427253831254,-0.7151790608695432,-0.04875054278767131,-0.054818735742742326,1,0,-1,3
